Record Date,Debt Held by the Public,Intragovernmental Holdings,Total Public Debt Outstanding,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
25-10-2021,22600000000000,6320000000000,28900000000000,1,2022,1,2021,4,10,25
22-10-2021,22600000000000,6320000000000,28900000000000,1,2022,1,2021,4,10,22
21-10-2021,22500000000000,6350000000000,28900000000000,1,2022,1,2021,4,10,21
20-10-2021,22500000000000,6350000000000,28800000000000,1,2022,1,2021,4,10,20
19-10-2021,22500000000000,6360000000000,28800000000000,1,2022,1,2021,4,10,19
18-10-2021,22500000000000,6350000000000,28800000000000,1,2022,1,2021,4,10,18
15-10-2021,22400000000000,6340000000000,28800000000000,1,2022,1,2021,4,10,15
14-10-2021,22400000000000,6330000000000,28700000000000,1,2022,1,2021,4,10,14
13-10-2021,22200000000000,6280000000000,28400000000000,1,2022,1,2021,4,10,13
12/10/2021,22100000000000,6290000000000,28400000000000,1,2022,1,2021,4,10,12
8/10/2021,22200000000000,6280000000000,28400000000000,1,2022,1,2021,4,10,8
7/10/2021,22200000000000,6280000000000,28400000000000,1,2022,1,2021,4,10,7
6/10/2021,22200000000000,6270000000000,28400000000000,1,2022,1,2021,4,10,6
5/10/2021,22200000000000,6270000000000,28400000000000,1,2022,1,2021,4,10,5
4/10/2021,22200000000000,6250000000000,28400000000000,1,2022,1,2021,4,10,4
1/10/2021,22200000000000,6230000000000,28400000000000,1,2022,1,2021,4,10,1
30-09-2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,9,30
29-09-2021,22300000000000,6160000000000,28400000000000,1,2021,4,2021,3,9,29
28-09-2021,22300000000000,6160000000000,28400000000000,1,2021,4,2021,3,9,28
27-09-2021,22300000000000,6170000000000,28400000000000,1,2021,4,2021,3,9,27
24-09-2021,22300000000000,6170000000000,28400000000000,1,2021,4,2021,3,9,24
23-09-2021,22300000000000,6160000000000,28400000000000,1,2021,4,2021,3,9,23
22-09-2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,9,22
21-09-2021,22300000000000,6170000000000,28400000000000,1,2021,4,2021,3,9,21
20-09-2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,9,20
17-09-2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,9,17
16-09-2021,22300000000000,6140000000000,28400000000000,1,2021,4,2021,3,9,16
15-09-2021,22300000000000,6130000000000,28400000000000,1,2021,4,2021,3,9,15
14-09-2021,22300000000000,6140000000000,28400000000000,1,2021,4,2021,3,9,14
13-09-2021,22300000000000,6140000000000,28400000000000,1,2021,4,2021,3,9,13
10/9/2021,22300000000000,6130000000000,28400000000000,1,2021,4,2021,3,9,10
9/9/2021,22300000000000,6130000000000,28400000000000,1,2021,4,2021,3,9,9
8/9/2021,22300000000000,6130000000000,28400000000000,1,2021,4,2021,3,9,8
7/9/2021,22300000000000,6140000000000,28400000000000,1,2021,4,2021,3,9,7
3/9/2021,22300000000000,6140000000000,28400000000000,1,2021,4,2021,3,9,3
2/9/2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,9,2
1/9/2021,22300000000000,6130000000000,28400000000000,1,2021,4,2021,3,9,1
31-08-2021,22300000000000,6170000000000,28400000000000,1,2021,4,2021,3,8,31
30-08-2021,22200000000000,6180000000000,28400000000000,1,2021,4,2021,3,8,30
27-08-2021,22200000000000,6180000000000,28400000000000,1,2021,4,2021,3,8,27
26-08-2021,22200000000000,6190000000000,28400000000000,1,2021,4,2021,3,8,26
25-08-2021,22200000000000,6180000000000,28400000000000,1,2021,4,2021,3,8,25
24-08-2021,22200000000000,6190000000000,28400000000000,1,2021,4,2021,3,8,24
23-08-2021,22300000000000,6180000000000,28400000000000,1,2021,4,2021,3,8,23
20-08-2021,22300000000000,6170000000000,28400000000000,1,2021,4,2021,3,8,20
19-08-2021,22300000000000,6170000000000,28400000000000,1,2021,4,2021,3,8,19
18-08-2021,22300000000000,6160000000000,28400000000000,1,2021,4,2021,3,8,18
17-08-2021,22300000000000,6180000000000,28400000000000,1,2021,4,2021,3,8,17
16-08-2021,22300000000000,6160000000000,28400000000000,1,2021,4,2021,3,8,16
13-08-2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,8,13
12/8/2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,8,12
11/8/2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,8,11
10/8/2021,22300000000000,6170000000000,28400000000000,1,2021,4,2021,3,8,10
9/8/2021,22300000000000,6160000000000,28400000000000,1,2021,4,2021,3,8,9
6/8/2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,8,6
5/8/2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,8,5
4/8/2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,8,4
3/8/2021,22300000000000,6150000000000,28400000000000,1,2021,4,2021,3,8,3
2/8/2021,22300000000000,6130000000000,28400000000000,1,2021,4,2021,3,8,2
30-07-2021,22300000000000,6140000000000,28400000000000,1,2021,4,2021,3,7,30
29-07-2021,22300000000000,6190000000000,28500000000000,1,2021,4,2021,3,7,29
28-07-2021,22300000000000,6190000000000,28500000000000,1,2021,4,2021,3,7,28
27-07-2021,22300000000000,6200000000000,28500000000000,1,2021,4,2021,3,7,27
26-07-2021,22300000000000,6190000000000,28500000000000,1,2021,4,2021,3,7,26
23-07-2021,22300000000000,6180000000000,28500000000000,1,2021,4,2021,3,7,23
22-07-2021,22300000000000,6180000000000,28500000000000,1,2021,4,2021,3,7,22
21-07-2021,22300000000000,6170000000000,28500000000000,1,2021,4,2021,3,7,21
20-07-2021,22300000000000,6190000000000,28500000000000,1,2021,4,2021,3,7,20
19-07-2021,22300000000000,6190000000000,28500000000000,1,2021,4,2021,3,7,19
16-07-2021,22300000000000,6180000000000,28500000000000,1,2021,4,2021,3,7,16
15-07-2021,22300000000000,6180000000000,28500000000000,1,2021,4,2021,3,7,15
14-07-2021,22300000000000,6170000000000,28500000000000,1,2021,4,2021,3,7,14
13-07-2021,22300000000000,6190000000000,28500000000000,1,2021,4,2021,3,7,13
12/7/2021,22300000000000,6180000000000,28500000000000,1,2021,4,2021,3,7,12
9/7/2021,22300000000000,6170000000000,28500000000000,1,2021,4,2021,3,7,9
8/7/2021,22300000000000,6170000000000,28500000000000,1,2021,4,2021,3,7,8
7/7/2021,22300000000000,6170000000000,28500000000000,1,2021,4,2021,3,7,7
6/7/2021,22300000000000,6160000000000,28500000000000,1,2021,4,2021,3,7,6
2/7/2021,22300000000000,6150000000000,28500000000000,1,2021,4,2021,3,7,2
1/7/2021,22300000000000,6160000000000,28500000000000,1,2021,4,2021,3,7,1
30-06-2021,22300000000000,6200000000000,28500000000000,1,2021,3,2021,2,6,30
29-06-2021,22200000000000,6150000000000,28300000000000,1,2021,3,2021,2,6,29
28-06-2021,22200000000000,6140000000000,28400000000000,1,2021,3,2021,2,6,28
25-06-2021,22200000000000,6130000000000,28300000000000,1,2021,3,2021,2,6,25
24-06-2021,22200000000000,6130000000000,28300000000000,1,2021,3,2021,2,6,24
23-06-2021,22200000000000,6120000000000,28300000000000,1,2021,3,2021,2,6,23
22-06-2021,22200000000000,6140000000000,28300000000000,1,2021,3,2021,2,6,22
21-06-2021,22200000000000,6130000000000,28300000000000,1,2021,3,2021,2,6,21
18-06-2021,22200000000000,6120000000000,28300000000000,1,2021,3,2021,2,6,18
17-06-2021,22200000000000,6120000000000,28300000000000,1,2021,3,2021,2,6,17
16-06-2021,22200000000000,6110000000000,28300000000000,1,2021,3,2021,2,6,16
15-06-2021,22200000000000,6120000000000,28300000000000,1,2021,3,2021,2,6,15
14-06-2021,22100000000000,6110000000000,28200000000000,1,2021,3,2021,2,6,14
11/6/2021,22100000000000,6100000000000,28200000000000,1,2021,3,2021,2,6,11
10/6/2021,22100000000000,6100000000000,28200000000000,1,2021,3,2021,2,6,10
9/6/2021,22100000000000,6100000000000,28200000000000,1,2021,3,2021,2,6,9
8/6/2021,22100000000000,6110000000000,28200000000000,1,2021,3,2021,2,6,8
7/6/2021,22100000000000,6150000000000,28300000000000,1,2021,3,2021,2,6,7
4/6/2021,22100000000000,6150000000000,28300000000000,1,2021,3,2021,2,6,4
3/6/2021,22100000000000,6130000000000,28200000000000,1,2021,3,2021,2,6,3
2/6/2021,22100000000000,6140000000000,28300000000000,1,2021,3,2021,2,6,2
1/6/2021,22100000000000,6130000000000,28300000000000,1,2021,3,2021,2,6,1
28-05-2021,22000000000000,6180000000000,28200000000000,1,2021,3,2021,2,5,28
27-05-2021,22000000000000,6180000000000,28200000000000,1,2021,3,2021,2,5,27
26-05-2021,22000000000000,6180000000000,28200000000000,1,2021,3,2021,2,5,26
25-05-2021,22000000000000,6200000000000,28200000000000,1,2021,3,2021,2,5,25
24-05-2021,22000000000000,6190000000000,28200000000000,1,2021,3,2021,2,5,24
21-05-2021,22000000000000,6180000000000,28200000000000,1,2021,3,2021,2,5,21
20-05-2021,22000000000000,6180000000000,28200000000000,1,2021,3,2021,2,5,20
19-05-2021,22000000000000,6170000000000,28200000000000,1,2021,3,2021,2,5,19
18-05-2021,22000000000000,6190000000000,28200000000000,1,2021,3,2021,2,5,18
17-05-2021,22100000000000,6170000000000,28200000000000,1,2021,3,2021,2,5,17
14-05-2021,22000000000000,6160000000000,28100000000000,1,2021,3,2021,2,5,14
13-05-2021,22000000000000,6160000000000,28100000000000,1,2021,3,2021,2,5,13
12/5/2021,22000000000000,6150000000000,28200000000000,1,2021,3,2021,2,5,12
11/5/2021,22000000000000,6170000000000,28200000000000,1,2021,3,2021,2,5,11
10/5/2021,22000000000000,6160000000000,28200000000000,1,2021,3,2021,2,5,10
7/5/2021,22000000000000,6160000000000,28200000000000,1,2021,3,2021,2,5,7
6/5/2021,22000000000000,6160000000000,28200000000000,1,2021,3,2021,2,5,6
5/5/2021,22000000000000,6130000000000,28200000000000,1,2021,3,2021,2,5,5
4/5/2021,22000000000000,6130000000000,28200000000000,1,2021,3,2021,2,5,4
3/5/2021,22100000000000,6100000000000,28200000000000,1,2021,3,2021,2,5,3
30-04-2021,22100000000000,6120000000000,28200000000000,1,2021,3,2021,2,4,30
29-04-2021,21900000000000,6160000000000,28100000000000,1,2021,3,2021,2,4,29
28-04-2021,21900000000000,6170000000000,28100000000000,1,2021,3,2021,2,4,28
27-04-2021,21900000000000,6190000000000,28100000000000,1,2021,3,2021,2,4,27
26-04-2021,22000000000000,6190000000000,28100000000000,1,2021,3,2021,2,4,26
23-04-2021,22000000000000,6180000000000,28100000000000,1,2021,3,2021,2,4,23
22-04-2021,22000000000000,6170000000000,28100000000000,1,2021,3,2021,2,4,22
21-04-2021,22000000000000,6170000000000,28200000000000,1,2021,3,2021,2,4,21
20-04-2021,22000000000000,6190000000000,28200000000000,1,2021,3,2021,2,4,20
19-04-2021,22000000000000,6170000000000,28200000000000,1,2021,3,2021,2,4,19
16-04-2021,22000000000000,6160000000000,28200000000000,1,2021,3,2021,2,4,16
15-04-2021,22000000000000,6150000000000,28100000000000,1,2021,3,2021,2,4,15
14-04-2021,22000000000000,6130000000000,28100000000000,1,2021,3,2021,2,4,14
13-04-2021,22000000000000,6150000000000,28100000000000,1,2021,3,2021,2,4,13
12/4/2021,22000000000000,6140000000000,28100000000000,1,2021,3,2021,2,4,12
9/4/2021,22000000000000,6130000000000,28100000000000,1,2021,3,2021,2,4,9
8/4/2021,22000000000000,6130000000000,28100000000000,1,2021,3,2021,2,4,8
7/4/2021,22000000000000,6120000000000,28100000000000,1,2021,3,2021,2,4,7
6/4/2021,22000000000000,6120000000000,28100000000000,1,2021,3,2021,2,4,6
5/4/2021,22000000000000,6110000000000,28100000000000,1,2021,3,2021,2,4,5
2/4/2021,22000000000000,6100000000000,28100000000000,1,2021,3,2021,2,4,2
1/4/2021,22000000000000,6110000000000,28100000000000,1,2021,3,2021,2,4,1
31-03-2021,22000000000000,6150000000000,28100000000000,1,2021,2,2021,1,3,31
30-03-2021,21800000000000,6150000000000,28000000000000,1,2021,2,2021,1,3,30
29-03-2021,21800000000000,6150000000000,28000000000000,1,2021,2,2021,1,3,29
26-03-2021,21800000000000,6150000000000,28000000000000,1,2021,2,2021,1,3,26
25-03-2021,21800000000000,6150000000000,28000000000000,1,2021,2,2021,1,3,25
24-03-2021,21800000000000,6140000000000,28000000000000,1,2021,2,2021,1,3,24
23-03-2021,21800000000000,6160000000000,28000000000000,1,2021,2,2021,1,3,23
22-03-2021,21800000000000,6130000000000,28000000000000,1,2021,2,2021,1,3,22
19-03-2021,21800000000000,6120000000000,28000000000000,1,2021,2,2021,1,3,19
18-03-2021,21800000000000,6120000000000,28000000000000,1,2021,2,2021,1,3,18
17-03-2021,21900000000000,6110000000000,28000000000000,1,2021,2,2021,1,3,17
16-03-2021,21900000000000,6120000000000,28000000000000,1,2021,2,2021,1,3,16
15-03-2021,21900000000000,6120000000000,28000000000000,1,2021,2,2021,1,3,15
12/3/2021,21800000000000,6110000000000,27900000000000,1,2021,2,2021,1,3,12
11/3/2021,21800000000000,6110000000000,27900000000000,1,2021,2,2021,1,3,11
10/3/2021,21800000000000,6110000000000,27900000000000,1,2021,2,2021,1,3,10
9/3/2021,21800000000000,6130000000000,27900000000000,1,2021,2,2021,1,3,9
8/3/2021,21800000000000,6120000000000,28000000000000,1,2021,2,2021,1,3,8
5/3/2021,21800000000000,6120000000000,28000000000000,1,2021,2,2021,1,3,5
4/3/2021,21800000000000,6120000000000,28000000000000,1,2021,2,2021,1,3,4
3/3/2021,21900000000000,6110000000000,28000000000000,1,2021,2,2021,1,3,3
2/3/2021,21900000000000,6130000000000,28000000000000,1,2021,2,2021,1,3,2
1/3/2021,21900000000000,6110000000000,28000000000000,1,2021,2,2021,1,3,1
26-02-2021,21800000000000,6150000000000,27900000000000,1,2021,2,2021,1,2,26
25-02-2021,21700000000000,6150000000000,27900000000000,1,2021,2,2021,1,2,25
24-02-2021,21800000000000,6160000000000,27900000000000,1,2021,2,2021,1,2,24
23-02-2021,21800000000000,6130000000000,27900000000000,1,2021,2,2021,1,2,23
22-02-2021,21800000000000,6120000000000,27900000000000,1,2021,2,2021,1,2,22
19-02-2021,21800000000000,6110000000000,27900000000000,1,2021,2,2021,1,2,19
18-02-2021,21800000000000,6110000000000,27900000000000,1,2021,2,2021,1,2,18
17-02-2021,21800000000000,6110000000000,27900000000000,1,2021,2,2021,1,2,17
16-02-2021,21800000000000,6110000000000,27900000000000,1,2021,2,2021,1,2,16
12/2/2021,21800000000000,6100000000000,27900000000000,1,2021,2,2021,1,2,12
11/2/2021,21800000000000,6100000000000,27800000000000,1,2021,2,2021,1,2,11
10/2/2021,21700000000000,6100000000000,27800000000000,1,2021,2,2021,1,2,10
9/2/2021,21800000000000,6120000000000,27900000000000,1,2021,2,2021,1,2,9
8/2/2021,21700000000000,6110000000000,27900000000000,1,2021,2,2021,1,2,8
5/2/2021,21700000000000,6100000000000,27900000000000,1,2021,2,2021,1,2,5
4/2/2021,21700000000000,6110000000000,27900000000000,1,2021,2,2021,1,2,4
3/2/2021,21700000000000,6100000000000,27900000000000,1,2021,2,2021,1,2,3
2/2/2021,21700000000000,6120000000000,27900000000000,1,2021,2,2021,1,2,2
1/2/2021,21700000000000,6080000000000,27800000000000,1,2021,2,2021,1,2,1
29-01-2021,21600000000000,6140000000000,27800000000000,1,2021,2,2021,1,1,29
28-01-2021,21600000000000,6130000000000,27800000000000,1,2021,2,2021,1,1,28
27-01-2021,21600000000000,6130000000000,27800000000000,1,2021,2,2021,1,1,27
26-01-2021,21600000000000,6140000000000,27800000000000,1,2021,2,2021,1,1,26
25-01-2021,21600000000000,6140000000000,27800000000000,1,2021,2,2021,1,1,25
22-01-2021,21600000000000,6120000000000,27800000000000,1,2021,2,2021,1,1,22
21-01-2021,21600000000000,6120000000000,27800000000000,1,2021,2,2021,1,1,21
20-01-2021,21600000000000,6120000000000,27800000000000,1,2021,2,2021,1,1,20
19-01-2021,21600000000000,6120000000000,27800000000000,1,2021,2,2021,1,1,19
15-01-2021,21600000000000,6110000000000,27700000000000,1,2021,2,2021,1,1,15
14-01-2021,21600000000000,6100000000000,27700000000000,1,2021,2,2021,1,1,14
13-01-2021,21600000000000,6100000000000,27700000000000,1,2021,2,2021,1,1,13
12/1/2021,21600000000000,6120000000000,27700000000000,1,2021,2,2021,1,1,12
11/1/2021,21600000000000,6110000000000,27700000000000,1,2021,2,2021,1,1,11
8/1/2021,21600000000000,6100000000000,27700000000000,1,2021,2,2021,1,1,8
7/1/2021,21600000000000,6100000000000,27700000000000,1,2021,2,2021,1,1,7
6/1/2021,21600000000000,6100000000000,27700000000000,1,2021,2,2021,1,1,6
5/1/2021,21600000000000,6100000000000,27700000000000,1,2021,2,2021,1,1,5
4/1/2021,21600000000000,6080000000000,27700000000000,1,2021,2,2021,1,1,4
31-12-2020,21600000000000,6120000000000,27700000000000,1,2021,1,2020,4,12,31
30-12-2020,21500000000000,6090000000000,27600000000000,1,2021,1,2020,4,12,30
29-12-2020,21500000000000,6080000000000,27600000000000,1,2021,1,2020,4,12,29
28-12-2020,21500000000000,6070000000000,27500000000000,1,2021,1,2020,4,12,28
24-12-2020,21400000000000,6070000000000,27500000000000,1,2021,1,2020,4,12,24
23-12-2020,21400000000000,6070000000000,27500000000000,1,2021,1,2020,4,12,23
22-12-2020,21400000000000,6070000000000,27500000000000,1,2021,1,2020,4,12,22
21-12-2020,21400000000000,6070000000000,27500000000000,1,2021,1,2020,4,12,21
18-12-2020,21400000000000,6040000000000,27500000000000,1,2021,1,2020,4,12,18
17-12-2020,21400000000000,6060000000000,27500000000000,1,2021,1,2020,4,12,17
16-12-2020,21400000000000,6050000000000,27500000000000,1,2021,1,2020,4,12,16
15-12-2020,21400000000000,6060000000000,27500000000000,1,2021,1,2020,4,12,15
14-12-2020,21400000000000,6040000000000,27400000000000,1,2021,1,2020,4,12,14
11/12/2020,21400000000000,6030000000000,27400000000000,1,2021,1,2020,4,12,11
10/12/2020,21400000000000,6030000000000,27400000000000,1,2021,1,2020,4,12,10
9/12/2020,21400000000000,6050000000000,27400000000000,1,2021,1,2020,4,12,9
8/12/2020,21400000000000,6070000000000,27400000000000,1,2021,1,2020,4,12,8
7/12/2020,21400000000000,6060000000000,27400000000000,1,2021,1,2020,4,12,7
4/12/2020,21400000000000,6060000000000,27400000000000,1,2021,1,2020,4,12,4
3/12/2020,21400000000000,6060000000000,27400000000000,1,2021,1,2020,4,12,3
2/12/2020,21300000000000,6070000000000,27400000000000,1,2021,1,2020,4,12,2
1/12/2020,21300000000000,6060000000000,27400000000000,1,2021,1,2020,4,12,1
30-11-2020,21300000000000,6100000000000,27400000000000,1,2021,1,2020,4,11,30
27-11-2020,21200000000000,6060000000000,27300000000000,1,2021,1,2020,4,11,27
25-11-2020,21200000000000,6060000000000,27300000000000,1,2021,1,2020,4,11,25
24-11-2020,21200000000000,6070000000000,27300000000000,1,2021,1,2020,4,11,24
23-11-2020,21200000000000,6050000000000,27300000000000,1,2021,1,2020,4,11,23
20-11-2020,21200000000000,6040000000000,27200000000000,1,2021,1,2020,4,11,20
19-11-2020,21200000000000,6040000000000,27200000000000,1,2021,1,2020,4,11,19
18-11-2020,21200000000000,6040000000000,27200000000000,1,2021,1,2020,4,11,18
17-11-2020,21200000000000,6050000000000,27300000000000,1,2021,1,2020,4,11,17
16-11-2020,21200000000000,6040000000000,27300000000000,1,2021,1,2020,4,11,16
13-11-2020,21200000000000,6030000000000,27200000000000,1,2021,1,2020,4,11,13
12/11/2020,21200000000000,6030000000000,27200000000000,1,2021,1,2020,4,11,12
10/11/2020,21200000000000,6030000000000,27200000000000,1,2021,1,2020,4,11,10
9/11/2020,21200000000000,6050000000000,27200000000000,1,2021,1,2020,4,11,9
6/11/2020,21200000000000,6040000000000,27200000000000,1,2021,1,2020,4,11,6
5/11/2020,21200000000000,6040000000000,27200000000000,1,2021,1,2020,4,11,5
4/11/2020,21200000000000,6040000000000,27200000000000,1,2021,1,2020,4,11,4
3/11/2020,21200000000000,6040000000000,27200000000000,1,2021,1,2020,4,11,3
2/11/2020,21200000000000,6040000000000,27200000000000,1,2021,1,2020,4,11,2
30-10-2020,21100000000000,6040000000000,27100000000000,1,2021,1,2020,4,10,30
29-10-2020,21100000000000,6090000000000,27200000000000,1,2021,1,2020,4,10,29
28-10-2020,21100000000000,6090000000000,27200000000000,1,2021,1,2020,4,10,28
27-10-2020,21100000000000,6100000000000,27200000000000,1,2021,1,2020,4,10,27
26-10-2020,21100000000000,6100000000000,27200000000000,1,2021,1,2020,4,10,26
23-10-2020,21100000000000,6080000000000,27200000000000,1,2021,1,2020,4,10,23
22-10-2020,21100000000000,6070000000000,27200000000000,1,2021,1,2020,4,10,22
21-10-2020,21100000000000,6050000000000,27100000000000,1,2021,1,2020,4,10,21
20-10-2020,21100000000000,6070000000000,27200000000000,1,2021,1,2020,4,10,20
19-10-2020,21100000000000,6060000000000,27200000000000,1,2021,1,2020,4,10,19
16-10-2020,21100000000000,6050000000000,27100000000000,1,2021,1,2020,4,10,16
15-10-2020,21100000000000,6050000000000,27100000000000,1,2021,1,2020,4,10,15
14-10-2020,21000000000000,6040000000000,27100000000000,1,2021,1,2020,4,10,14
13-10-2020,21000000000000,6050000000000,27100000000000,1,2021,1,2020,4,10,13
9/10/2020,21000000000000,6050000000000,27100000000000,1,2021,1,2020,4,10,9
8/10/2020,21000000000000,6050000000000,27100000000000,1,2021,1,2020,4,10,8
7/10/2020,21000000000000,6040000000000,27100000000000,1,2021,1,2020,4,10,7
6/10/2020,21000000000000,6040000000000,27100000000000,1,2021,1,2020,4,10,6
5/10/2020,21000000000000,6030000000000,27100000000000,1,2021,1,2020,4,10,5
2/10/2020,21000000000000,6030000000000,27000000000000,1,2021,1,2020,4,10,2
1/10/2020,21000000000000,6010000000000,27000000000000,1,2021,1,2020,4,10,1
30-09-2020,21000000000000,5930000000000,26900000000000,1,2020,4,2020,3,9,30
29-09-2020,20900000000000,5890000000000,26800000000000,1,2020,4,2020,3,9,29
28-09-2020,20900000000000,5900000000000,26800000000000,1,2020,4,2020,3,9,28
25-09-2020,20900000000000,5900000000000,26800000000000,1,2020,4,2020,3,9,25
24-09-2020,20900000000000,5900000000000,26800000000000,1,2020,4,2020,3,9,24
23-09-2020,20900000000000,5890000000000,26800000000000,1,2020,4,2020,3,9,23
22-09-2020,20900000000000,5900000000000,26800000000000,1,2020,4,2020,3,9,22
21-09-2020,20900000000000,5890000000000,26800000000000,1,2020,4,2020,3,9,21
18-09-2020,20900000000000,5890000000000,26800000000000,1,2020,4,2020,3,9,18
17-09-2020,20900000000000,5890000000000,26800000000000,1,2020,4,2020,3,9,17
16-09-2020,20900000000000,5880000000000,26800000000000,1,2020,4,2020,3,9,16
15-09-2020,20900000000000,5890000000000,26800000000000,1,2020,4,2020,3,9,15
14-09-2020,20800000000000,5880000000000,26700000000000,1,2020,4,2020,3,9,14
11/9/2020,20800000000000,5880000000000,26700000000000,1,2020,4,2020,3,9,11
10/9/2020,20800000000000,5880000000000,26700000000000,1,2020,4,2020,3,9,10
9/9/2020,20800000000000,5880000000000,26700000000000,1,2020,4,2020,3,9,9
8/9/2020,20800000000000,5890000000000,26700000000000,1,2020,4,2020,3,9,8
4/9/2020,20800000000000,5880000000000,26700000000000,1,2020,4,2020,3,9,4
3/9/2020,20800000000000,5880000000000,26700000000000,1,2020,4,2020,3,9,3
2/9/2020,20800000000000,5880000000000,26700000000000,1,2020,4,2020,3,9,2
1/9/2020,20800000000000,5870000000000,26700000000000,1,2020,4,2020,3,9,1
31-08-2020,20800000000000,5910000000000,26700000000000,1,2020,4,2020,3,8,31
28-08-2020,20700000000000,5910000000000,26600000000000,1,2020,4,2020,3,8,28
27-08-2020,20700000000000,5910000000000,26600000000000,1,2020,4,2020,3,8,27
26-08-2020,20700000000000,5910000000000,26600000000000,1,2020,4,2020,3,8,26
25-08-2020,20700000000000,5930000000000,26600000000000,1,2020,4,2020,3,8,25
24-08-2020,20700000000000,5910000000000,26600000000000,1,2020,4,2020,3,8,24
21-08-2020,20700000000000,5910000000000,26600000000000,1,2020,4,2020,3,8,21
20-08-2020,20700000000000,5910000000000,26600000000000,1,2020,4,2020,3,8,20
19-08-2020,20700000000000,5900000000000,26600000000000,1,2020,4,2020,3,8,19
18-08-2020,20700000000000,5920000000000,26600000000000,1,2020,4,2020,3,8,18
17-08-2020,20700000000000,5900000000000,26600000000000,1,2020,4,2020,3,8,17
14-08-2020,20600000000000,5890000000000,26500000000000,1,2020,4,2020,3,8,14
13-08-2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,8,13
12/8/2020,20600000000000,5890000000000,26500000000000,1,2020,4,2020,3,8,12
11/8/2020,20600000000000,5910000000000,26500000000000,1,2020,4,2020,3,8,11
10/8/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,8,10
7/8/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,8,7
6/8/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,8,6
5/8/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,8,5
4/8/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,8,4
3/8/2020,20600000000000,5880000000000,26500000000000,1,2020,4,2020,3,8,3
31-07-2020,20600000000000,5890000000000,26500000000000,1,2020,4,2020,3,7,31
30-07-2020,20600000000000,5930000000000,26500000000000,1,2020,4,2020,3,7,30
29-07-2020,20600000000000,5940000000000,26500000000000,1,2020,4,2020,3,7,29
28-07-2020,20600000000000,5940000000000,26500000000000,1,2020,4,2020,3,7,28
27-07-2020,20600000000000,5930000000000,26500000000000,1,2020,4,2020,3,7,27
24-07-2020,20600000000000,5920000000000,26500000000000,1,2020,4,2020,3,7,24
23-07-2020,20600000000000,5920000000000,26500000000000,1,2020,4,2020,3,7,23
22-07-2020,20600000000000,5920000000000,26500000000000,1,2020,4,2020,3,7,22
21-07-2020,20600000000000,5940000000000,26500000000000,1,2020,4,2020,3,7,21
20-07-2020,20600000000000,5920000000000,26500000000000,1,2020,4,2020,3,7,20
17-07-2020,20600000000000,5920000000000,26500000000000,1,2020,4,2020,3,7,17
16-07-2020,20600000000000,5920000000000,26500000000000,1,2020,4,2020,3,7,16
15-07-2020,20600000000000,5910000000000,26500000000000,1,2020,4,2020,3,7,15
14-07-2020,20500000000000,5910000000000,26400000000000,1,2020,4,2020,3,7,14
13-07-2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,7,13
10/7/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,7,10
9/7/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,7,9
8/7/2020,20600000000000,5890000000000,26400000000000,1,2020,4,2020,3,7,8
7/7/2020,20600000000000,5910000000000,26500000000000,1,2020,4,2020,3,7,7
6/7/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,7,6
3/7/2020,20600000000000,5890000000000,26400000000000,1,2020,4,2020,3,7,3
2/7/2020,20600000000000,5900000000000,26500000000000,1,2020,4,2020,3,7,2
1/7/2020,20500000000000,5900000000000,26400000000000,1,2020,4,2020,3,7,1
30-06-2020,20500000000000,5950000000000,26500000000000,1,2020,3,2020,2,6,30
29-06-2020,20400000000000,5900000000000,26300000000000,1,2020,3,2020,2,6,29
26-06-2020,20400000000000,5890000000000,26300000000000,1,2020,3,2020,2,6,26
25-06-2020,20400000000000,5890000000000,26300000000000,1,2020,3,2020,2,6,25
24-06-2020,20300000000000,5900000000000,26200000000000,1,2020,3,2020,2,6,24
23-06-2020,20300000000000,5910000000000,26300000000000,1,2020,3,2020,2,6,23
